"id","age","female","educ","educ3","marital","union","ses","income","relig","bornswe","foreignpar","urban","county","land","polint","inteff","dem_pref","dem_courts","dem_strong","dem_women","run_business","run_experts","run_referenda","demlevel","tr_parl","tr_govt","tr_court","tr_sci","tr_party","tr_media","tr_socmed","govperf","govcovid","econ","satvote","satchoice","satdem","fair","exteff","fairgroups","health","pand_unity","pand_dem","pand_fin","covid","news_tv","news_web","news_soc","like_s","like_sd","like_m","like_v","like_c","like_kd","like_mp","like_l","lead_andersson","lead_akesson","lead_kristersson","lead_dadgostar","lead_loof","lead_busch","lead_stenevi","lead_pehrson","lr_s","lr_sd","lr_m","lr_v","lr_c","lr_kd","lr_mp","lr_l","lr_self","turnout","vote","prevvote","switched","bloc","vote_sd","vote_right","vote_inc","pid","pid_close","wt"
"0000000658",50,0,8,"Postgraduate","Married",1,"White collar",5,2,1,0,4,"Stockholm","Svealand",2,4,5,5,1,3,2,3,4,8,2,2,3,2,2,2,1,4,3,2,,2,3,5,3,2,3,1,1,4,,4,5,4,8,0,1,5,8,0,5,2,9,2,1,10,9,0,2,2,2,4,9,1,4,10,3,6,3,1,,,,,,,,0,,0.7712
"0000000656",31,0,7,"Bachelor","Single",,"Worker",5,1,1,0,2,"Västra Götaland","Götaland",3,4,5,4,3,3,2,4,1,10,4,3,4,3,3,2,1,3,3,2,,3,3,5,4,,3,2,3,4,1,1,1,1,8,3,9,5,8,5,8,6,8,5,8,5,8,7,6,6,3,7,7,3,4,7,4,8,7,1,,"M",,,,,,0,,1.275
"0000002341",40,0,6,"No degree","Married",1,"White collar",4,2,1,1,2,"Västra Götaland","Götaland",3,5,5,5,1,1,1,1,1,10,4,3,3,4,2,4,2,3,3,2,4,3,3,5,4,3,4,3,2,3,1,2,2,7,8,0,6,2,6,1,3,7,9,0,6,6,6,1,1,5,3,10,8,2,5,9,3,6,6,1,"S","S",0,"Left",0,0,1,0,1,1.275
"0000000170",51,0,9,"Postgraduate","Married",1,"White collar",,1,1,1,3,"Stockholm","Svealand",3,4,5,4,1,3,1,1,5,9,4,4,4,3,3,3,1,3,3,2,3,3,4,5,4,3,3,3,5,3,1,2,7,0,7,0,8,2,3,4,3,6,6,3,7,4,5,5,4,5,6,4,7,3,5,7,3,6,6,1,"M","M",0,"Right",0,1,0,0,2,0.7896
"0000000641",47,0,4,"No degree","Single",0,"Worker",5,1,1,0,3,"Stockholm","Svealand",3,4,5,5,2,3,2,4,1,7,3,3,3,4,2,3,2,2,2,2,3,2,3,4,4,2,1,3,3,4,1,2,7,3,3,2,8,0,3,5,0,7,5,5,8,0,0,3,0,7,3,6,8,0,7,7,1,6,8,1,"M","M",0,"Right",0,1,0,1,,1.1984
"0000000969",37,1,7,"Bachelor","Single",1,"Worker",5,4,1,0,3,"Västra Götaland","Götaland",4,4,5,5,2,3,4,4,1,9,3,3,3,2,3,3,2,3,4,2,4,4,4,5,5,3,4,4,5,3,1,5,1,3,6,1,8,0,8,9,0,10,6,8,3,7,6,8,2,9,4,10,8,0,5,9,1,7,7,1,"L","L",0,"Right",0,1,0,1,3,1.073
"0000000455",49,1,7,"Bachelor","Married",1,"Worker",5,2,1,0,2,"Skåne","Götaland",2,4,5,3,2,1,1,1,1,10,4,4,4,4,2,3,1,3,3,2,4,4,4,5,5,2,2,4,3,3,1,5,0,7,10,0,5,9,6,5,10,7,10,0,4,9,6,1,8,7,1,10,9,0,5,9,5,5,1,1,"S","S",0,"Left",0,0,1,1,3,0.9037
"0000000918",61,1,3,"No degree","Single",0,"Worker",1,1,1,0,1,"Gävleborg","Norrland",1,2,3,3,3,3,3,3,3,8,2,2,2,2,2,2,2,3,3,1,,3,3,3,2,3,2,1,3,1,0,5,2,7,7,0,7,7,7,6,1,7,9,0,7,7,7,6,5,7,5,5,5,5,5,5,5,5,5,,,,,,,,,0,,1.1901
"0000001004",52,1,7,"Bachelor","Married",0,"White collar",5,2,1,0,2,"Västerbotten","Norrland",3,4,5,5,3,3,2,2,1,7,4,4,4,3,,3,2,3,3,2,4,4,4,5,4,3,3,4,4,3,0,4,7,7,10,0,8,7,8,4,7,7,10,0,8,5,9,4,5,5,3,7,8,2,5,8,4,6,3,1,"S","S",0,"Left",0,0,1,1,2,0.7658
"0000000623",48,0,5,"No degree","Single",0,"Self-employed",5,1,1,0,3,"Stockholm","Svealand",3,5,5,5,4,5,4,4,3,6,2,2,2,3,2,2,1,1,2,1,3,2,2,3,2,3,2,3,3,3,1,6,7,0,1,6,4,2,0,5,0,3,2,8,5,2,0,6,0,6,1,5,8,0,6,7,0,7,5,1,"SD","SD",0,"Right",1,1,0,0,1,1.1984
