"iso3","country","region","income","lit_f","lit_m","lit_year","gdp","life","women","pop"
"AFG","Afghanistan","Middle East, North Africa, Afghanistan & Pakistan","Low income",26.6,52.1,2022,1964,66.3,27,42647492
"ALB","Albania","Europe & Central Asia","Upper middle income",97.2,98.2,2023,21641,79.8,35.7,2377128
"AGO","Angola","Sub-Saharan Africa ","Lower middle income",54.4,84,2023,8753,64.8,39.5,37885849
"ARG","Argentina","Latin America & Caribbean ","Upper middle income",99.2,99.1,2020,26772,77.5,42.4,45696159
"ARM","Armenia","Europe & Central Asia","Upper middle income",99.9,99.8,2023,20079,78.3,36.4,3033500
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",99.7,99.8,2023,22091,74.6,20.8,10202830
"BHR","Bahrain","Middle East, North Africa, Afghanistan & Pakistan","High income",96.3,98.7,2024,59060,81.4,20,1588670
"BGD","Bangladesh","South Asia","Lower middle income",76.5,81.4,2022,8487,74.9,20.9,173562364
"BLR","Belarus","Europe & Central Asia","Upper middle income",99.9,99.9,2019,29136,74.4,33.6,9132629
"BLZ","Belize","Latin America & Caribbean ","Upper middle income",87.9,87.9,2022,12621,73.7,15.6,417072
"BEN","Benin","Sub-Saharan Africa ","Lower middle income",41.5,62.6,2022,3901,61,26.6,14462724
"BTN","Bhutan","South Asia","Lower middle income",57,73.4,2022,15604,73.3,4.3,791524
"BOL","Bolivia","Latin America & Caribbean ","Lower middle income",94.8,98.8,2024,11329,68.7,46.2,12413315
"BRA","Brazil","Latin America & Caribbean ","Upper middle income",95,94.4,2024,19652,76,17.5,211998573
"BFA","Burkina Faso","Sub-Saharan Africa ","Low income",35.7,48.7,2023,2549,61.3,18.3,23548781
"BDI","Burundi","Sub-Saharan Africa ","Low income",66.1,77.9,2020,1048,63.8,38.2,14047786
"CPV","Cabo Verde","Sub-Saharan Africa ","Upper middle income",84.1,92.9,2024,9826,76.2,38.9,524877
"KHM","Cambodia","East Asia & Pacific","Lower middle income",63.6,90.3,2021,7012,70.8,13.6,17638801
"CMR","Cameroon","Sub-Saharan Africa ","Lower middle income",66.2,79.7,2018,4917,64,33.9,29123744
"CYM","Cayman Islands","Latin America & Caribbean ","High income",99,98.7,2017,80997,80.5,NA,74457
"CAF","Central African Republic","Sub-Saharan Africa ","Low income",27.1,59.8,2019,1111,57.7,11.4,5330690
"TCD","Chad","Sub-Saharan Africa ","Low income",18.6,44.5,2019,2431,55.2,26.1,20299123
"CHL","Chile","Latin America & Caribbean ","High income",96.3,96.5,2017,30268,81.4,35.5,19764771
"CHN","China","East Asia & Pacific","Upper middle income",95.1,98.4,2020,23841,78,26.5,1408975000
"COL","Colombia","Latin America & Caribbean ","Upper middle income",95.7,95,2024,18482,77.9,29.4,52886363
"COM","Comoros","Sub-Saharan Africa ","Lower middle income",72,79.6,2021,3556,67,16.7,866628
"COD","Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",53.8,85.4,2023,1602,62.1,13,109276265
"CIV","Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",40.3,68,2021,6747,62.1,13.4,31934230
"CUB","Cuba","Latin America & Caribbean ","Upper middle income",96.3,99,2019,NA,78.3,55.7,10979783
"DOM","Dominican Republic","Latin America & Caribbean ","Upper middle income",94.4,93.6,2024,24230,73.9,36.8,11427557
"ECU","Ecuador","Latin America & Caribbean ","Upper middle income",92.6,94.5,2024,13922,77.6,43.1,18135478
