"F1003_2","F1004","F1006_NAM","F1101_2","F2001_A","F2002","F2003","F2004","F2005","F2006","F2008","F2009","F2010_1","F2012","F2015","F2016","F2018","F2020","F3001","F3002_1","F3002_5","F3002_6_1","F3003","F3004_1","F3004_2","F3004_3","F3004_4","F3005_1","F3005_2","F3005_3","F3006","F3007_1","F3007_2","F3007_3","F3007_4","F3007_5","F3007_6","F3007_7","F3008_1","F3008_2","F3009","F3010","F3011_LH_PL","F3011_OUTGOV","F3012_1","F3013","F3014","F3015_LH","F3016_LH_PL","F3017","F3018_A","F3018_B","F3018_C","F3018_D","F3018_E","F3018_F","F3018_G","F3018_H","F3019_A","F3019_B","F3019_C","F3019_D","F3019_E","F3019_F","F3019_G","F3019_H","F3020_A","F3020_B","F3020_C","F3020_D","F3020_E","F3020_F","F3020_G","F3020_H","F3020_R","F3022","F3023_1","F3023_4","F3026","F3027","F3028_1","F3028_2","F3028_3","F3028_4"
"0000000658","SWE_2022","Sweden",0.7712,50,0,8,1,1,1,1,1,5,2,752,0,1,4,3,4,5,4,2,1,1,5,3,4,3,2,8,3,3,2,3,3,3,4,1,2,4,1,999999,999999,9,4,1,1,999999,3,8,0,1,5,8,0,5,2,9,2,1,10,9,0,2,2,2,4,9,1,4,10,3,6,3,2,0,9,3,2,5,5,2,8
"0000000656","SWE_2022","Sweden",1.275,31,0,7,4,9,5,2,2,5,1,752,0,14,2,2,1,1,1,2,1,2,3,3,4,2,5,10,1,2,1,2,2,3,4,2,2,4,1,999999,999999,9,2,1,1,752003,4,8,3,9,5,8,5,8,6,8,5,8,5,8,7,6,6,3,7,7,3,4,7,4,8,7,2,0,9,9,2,4,3,2,1
"0000002341","SWE_2022","Sweden",1.275,40,0,6,1,1,1,1,1,4,2,752,1,14,2,2,2,2,7,1,1,1,5,5,5,5,5,10,1,2,2,1,3,1,3,2,2,4,1,752001,1,1,2,1,1,752001,4,8,0,6,2,6,1,3,7,9,0,6,6,6,1,1,5,3,10,8,2,5,9,3,6,6,2,0,3,2,1,3,4,3,1
"0000000170","SWE_2022","Sweden",0.7896,51,0,9,1,1,1,1,2,9,1,752,1,1,3,2,2,7,0,2,1,2,5,3,5,5,1,9,1,1,1,2,2,2,4,2,2,4,1,752003,0,2,2,1,1,752003,4,7,0,8,2,3,4,3,6,6,3,7,4,5,5,4,5,6,4,7,3,5,7,3,6,6,1,0,2,2,2,3,1,3,1
"0000000641","SWE_2022","Sweden",1.1984,47,0,4,4,0,1,2,2,5,1,752,0,1,3,2,2,7,3,2,1,1,4,3,4,2,5,7,2,2,2,1,3,2,3,3,3,4,1,752003,0,2,4,2,1,752003,4,3,2,8,0,3,5,0,7,5,5,8,0,0,3,0,7,3,6,8,0,7,7,1,6,8,2,1,9,3,4,3,3,2,1
"0000000969","SWE_2022","Sweden",1.073,37,1,7,4,1,2,2,1,5,4,752,0,14,3,1,5,1,3,2,1,1,4,3,2,2,5,9,2,2,2,3,2,2,3,2,1,4,1,752008,0,1,1,1,1,752008,5,6,1,8,0,8,9,0,10,6,8,3,7,6,8,2,9,4,10,8,0,5,9,1,7,7,1,1,1,2,1,2,1,3,1
"0000000455","SWE_2022","Sweden",0.9037,49,1,7,1,1,1,2,1,5,2,752,0,12,2,3,5,0,7,2,1,3,4,5,5,5,5,10,1,1,1,1,3,2,4,2,2,4,1,752001,1,1,1,1,1,752001,5,10,0,5,9,6,5,10,7,10,0,4,9,6,1,8,7,1,10,9,0,5,9,5,5,1,1,1,1,3,3,2,3,3,1
"0000000918","SWE_2022","Sweden",1.1901,61,1,3,4,0,3,2,1,1,1,752,0,21,1,4,5,2,7,4,3,3,3,3,3,3,3,8,3,3,3,3,3,3,3,2,2,5,99,999999,999999,9,2,3,0,999999,2,7,0,7,7,7,6,1,7,9,0,7,7,7,6,5,7,5,5,5,5,5,5,5,5,5,2,0,9,2,3,5,3,5,0
"0000001004","SWE_2022","Sweden",0.7658,52,1,7,1,0,1,1,2,5,2,752,0,24,2,2,4,7,7,2,1,1,3,3,4,4,5,7,1,1,1,2,9,2,3,2,2,4,1,752001,1,1,1,1,1,752001,4,10,0,8,7,8,4,7,7,10,0,8,5,9,4,5,5,3,7,8,2,5,8,4,6,3,1,1,2,2,2,2,2,3,0
"0000000623","SWE_2022","Sweden",1.1984,48,0,5,4,0,1,4,1,5,1,752,0,1,3,2,6,7,0,1,1,1,2,1,2,2,3,6,3,3,3,2,3,3,4,4,3,5,1,752002,0,2,4,3,1,752002,2,1,6,4,2,0,5,0,3,2,8,5,2,0,6,0,6,1,5,8,0,6,7,0,7,5,4,0,3,2,3,3,3,3,1
